grid,steps,variant,ranks,e2e_max_s
1024,500,on,16,1.232608
1024,500,on,32,1.182412
1024,500,on,64,1.304977
1024,500,on,128,1.433042
1024,500,off,16,89.522988
1024,500,off,32,89.320482
1024,500,off,64,89.597983
1024,500,off,128,89.812013
2048,100,on,16,1.204770
2048,100,on,32,0.967701
2048,100,on,64,0.942081
2048,100,on,128,0.904739
2048,100,off,16,73.139898
2048,100,off,32,73.197384
2048,100,off,64,73.442673
2048,100,off,128,73.689928
4096,100,on,16,1.708522
4096,100,on,32,1.425355
4096,100,on,64,1.247321
4096,100,on,128,1.184958
4096,100,off,16,316.287234
4096,100,off,32,316.183121
4096,100,off,64,314.953815
4096,100,off,128,315.451398
8192,100,on,16,4.502565
8192,100,on,32,3.156395
8192,100,on,64,6.223595
8192,100,on,128,2.244170
8192,100,off,16,1265.271810
8192,100,off,32,1262.532033
8192,100,off,64,1259.732834
8192,100,off,128,1259.741047
