variant,benchmark,m,n,ranks,total_s,comm_s,comp_s
base,DFT,16,64,64,111.518481,33.920079,111.516571
base,DFT,1,4,4,1773.350593,25.850488,1773.349664
base,DFT,32,128,128,56.206119,26.554836,56.205231
base,DFT,4,16,16,443.782733,32.067372,443.779678
base,DFT,8,32,32,222.136201,33.104038,222.135079
base,decay,16,64,64,3.49949,,
base,decay,1,4,4,3.635,,
base,decay,32,128,128,3.47335,,
base,decay,4,16,16,3.59377,,
base,decay,8,32,32,3.48335,,
base,gradientSum,16,64,64,4.0925,,
base,gradientSum,1,4,4,3.78267,,
base,gradientSum,32,128,128,4.27323,,
base,gradientSum,4,16,16,3.87993,,
base,gradientSum,8,32,32,4.20651,,
base,liuliang,16,64,64,3.546271,0.510089,3.313948
base,liuliang,1,4,4,19.973166,0.402516,19.719013
base,liuliang,32,128,128,2.754157,0.708359,2.543433
base,liuliang,4,16,16,7.945819,0.546630,7.668201
base,liuliang,8,32,32,5.034495,0.740214,4.791293
base,mandel,16,64,64,17.2291,,
base,mandel,1,4,4,109.418,,
base,mandel,32,128,128,13.8214,,
base,mandel,4,16,16,36.3578,,
base,mandel,8,32,32,24.2441,,
base,matMul,16,64,64,58.140552,0.720575,58.060332
base,matMul,1,4,4,932.056398,4.611732,931.981123
base,matMul,32,128,128,29.482525,0.678519,29.401669
base,matMul,4,16,16,231.701142,1.342887,231.608805
base,matMul,8,32,32,116.233211,1.416872,116.133785
base,mdp,16,64,64,9.430334,1.018862,8.759497
base,mdp,1,4,4,24.712546,0.720547,24.147362
base,mdp,32,128,128,7.930044,1.330795,7.263167
base,mdp,4,16,16,14.646937,1.222995,13.798848
base,mdp,8,32,32,11.771878,1.421438,11.001400
base,monteCarlo,16,64,64,34.5495,,
base,monteCarlo,1,4,4,499.156,,
base,monteCarlo,32,128,128,19.028,,
base,monteCarlo,4,16,16,127.452,,
base,monteCarlo,8,32,32,65.6592,,
base,stencil,16,64,64,61.8739,,
base,stencil,1,4,4,770.706,,
base,stencil,32,128,128,39.0514,,
base,stencil,4,16,16,201.522,,
base,stencil,8,32,32,107.998,,
base,wave,16,64,64,107.147,,
base,wave,1,4,4,1520.1,,
base,wave,32,128,128,61.0391,,
base,wave,4,16,16,386.878,,
base,wave,8,32,32,199.913,,
dacpp,DFT,16,64,64,103.638786,33.915660,103.633337
dacpp,DFT,1,4,4,1644.743374,25.812611,1644.735478
dacpp,DFT,32,128,128,52.251437,26.424913,52.250545
dacpp,DFT,4,16,16,411.631270,31.993214,411.629774
dacpp,DFT,8,32,32,206.374866,33.314976,206.371066
dacpp,decay,16,64,64,3.275714,,
dacpp,decay,1,4,4,2.990225,,
dacpp,decay,32,128,128,3.407651,,
dacpp,decay,4,16,16,3.338190,,
dacpp,decay,8,32,32,3.223772,,
dacpp,gradientSum,16,64,64,4.156863,,
dacpp,gradientSum,1,4,4,3.711487,,
dacpp,gradientSum,32,128,128,4.010321,,
dacpp,gradientSum,4,16,16,3.898348,,
dacpp,gradientSum,8,32,32,3.949318,,
dacpp,liuliang,16,64,64,2.723842,0.396136,2.599170
dacpp,liuliang,1,4,4,6.270931,0.145621,6.174307
dacpp,liuliang,32,128,128,2.403362,0.614541,2.264740
dacpp,liuliang,4,16,16,4.004347,0.403063,3.870674
dacpp,liuliang,8,32,32,3.281746,0.613477,3.148387
dacpp,mandel,16,64,64,16.6995,,
dacpp,mandel,1,4,4,89.6085,,
dacpp,mandel,32,128,128,14.1277,,
dacpp,mandel,4,16,16,32.1265,,
dacpp,mandel,8,32,32,22.3316,,
dacpp,matMul,16,64,64,20.810298,17.332061,20.668314
dacpp,matMul,1,4,4,47.728482,17.122501,47.629732
dacpp,matMul,32,128,128,19.942010,17.588443,19.789265
dacpp,matMul,4,16,16,26.262088,17.350849,26.123584
dacpp,matMul,8,32,32,22.629064,17.573618,22.508760
dacpp,mdp,16,64,64,9.066654,0.846435,8.616596
dacpp,mdp,1,4,4,24.287586,0.490593,23.974499
dacpp,mdp,32,128,128,7.859234,1.273968,7.257503
dacpp,mdp,4,16,16,14.229765,0.894340,13.735000
dacpp,mdp,8,32,32,11.343733,1.116810,10.850080
dacpp,monteCarlo,16,64,64,29.992302,,
dacpp,monteCarlo,1,4,4,467.291311,,
dacpp,monteCarlo,32,128,128,15.834420,,
dacpp,monteCarlo,4,16,16,117.597624,,
dacpp,monteCarlo,8,32,32,59.135451,,
dacpp,stencil,16,64,64,51.0969,,
dacpp,stencil,1,4,4,480.665,,
dacpp,stencil,32,128,128,36.9191,,
dacpp,stencil,4,16,16,135.33,,
dacpp,stencil,8,32,32,79.2486,,
dacpp,wave,16,64,64,88.2771,,
dacpp,wave,1,4,4,1021.52,,
dacpp,wave,32,128,128,57.8692,,
dacpp,wave,4,16,16,271.556,,
dacpp,wave,8,32,32,149.333,,
