variant,benchmark,ranks,total_s,comm_s,comp_s
base,DFT,4,1773.350593,25.850488,1773.349664
base,DFT,16,443.782733,32.067372,443.779678
base,DFT,32,222.136201,33.104038,222.135079
base,DFT,64,111.518481,33.920079,111.516571
base,DFT,128,56.206119,26.554836,56.205231
gen,DFT,4,1644.743374,25.812611,1644.735478
gen,DFT,16,411.63127,31.993214,411.629774
gen,DFT,32,206.374866,33.314976,206.371066
gen,DFT,64,103.638786,33.91566,103.633337
gen,DFT,128,52.251437,26.424913,52.250545
base,decay,4,3.635,,
base,decay,16,3.59377,,
base,decay,32,3.48335,,
base,decay,64,3.49949,,
base,decay,128,3.47335,,
gen,decay,4,2.990225,,
gen,decay,16,3.33819,,
gen,decay,32,3.223772,,
gen,decay,64,3.275714,,
gen,decay,128,3.407651,,
base,gradientSum,4,3.78267,,
base,gradientSum,16,3.87993,,
base,gradientSum,32,4.20651,,
base,gradientSum,64,4.0925,,
base,gradientSum,128,4.27323,,
gen,gradientSum,4,3.711487,,
gen,gradientSum,16,3.898348,,
gen,gradientSum,32,3.949318,,
gen,gradientSum,64,4.156863,,
gen,gradientSum,128,4.010321,,
base,liuliang,4,19.973166,0.402516,19.719013
base,liuliang,16,7.945819,0.54663,7.668201
base,liuliang,32,5.034495,0.740214,4.791293
base,liuliang,64,3.546271,0.510089,3.313948
base,liuliang,128,2.754157,0.708359,2.543433
gen,liuliang,4,6.270931,0.145621,6.174307
gen,liuliang,16,4.004347,0.403063,3.870674
gen,liuliang,32,3.281746,0.613477,3.148387
gen,liuliang,64,2.723842,0.396136,2.59917
gen,liuliang,128,2.403362,0.614541,2.26474
base,mandel,4,109.418,,
base,mandel,16,36.3578,,
base,mandel,32,24.2441,,
base,mandel,64,17.2291,,
base,mandel,128,13.8214,,
gen,mandel,4,89.6085,,
gen,mandel,16,32.1265,,
gen,mandel,32,22.3316,,
gen,mandel,64,16.6995,,
gen,mandel,128,14.1277,,
base,matMul,4,932.056398,4.611732,931.981123
base,matMul,16,231.701142,1.342887,231.608805
base,matMul,32,116.233211,1.416872,116.133785
base,matMul,64,58.140552,0.720575,58.060332
base,matMul,128,29.482525,0.678519,29.401669
gen,matMul,4,47.728482,17.122501,47.629732
gen,matMul,16,26.262088,17.350849,26.123584
gen,matMul,32,22.629064,17.573618,22.50876
gen,matMul,64,20.810298,17.332061,20.668314
gen,matMul,128,19.94201,17.588443,19.789265
base,mdp,4,24.712546,0.720547,24.147362
base,mdp,16,14.646937,1.222995,13.798848
base,mdp,32,11.771878,1.421438,11.0014
base,mdp,64,9.430334,1.018862,8.759497
base,mdp,128,7.930044,1.330795,7.263167
gen,mdp,4,24.287586,0.490593,23.974499
gen,mdp,16,14.229765,0.89434,13.735
gen,mdp,32,11.343733,1.11681,10.85008
gen,mdp,64,9.066654,0.846435,8.616596
gen,mdp,128,7.859234,1.273968,7.257503
base,monteCarlo,4,499.156,,
base,monteCarlo,16,127.452,,
base,monteCarlo,32,65.6592,,
base,monteCarlo,64,34.5495,,
base,monteCarlo,128,19.028,,
gen,monteCarlo,4,467.291311,,
gen,monteCarlo,16,117.597624,,
gen,monteCarlo,32,59.135451,,
gen,monteCarlo,64,29.992302,,
gen,monteCarlo,128,15.83442,,
base,stencil,4,770.706,,
base,stencil,16,201.522,,
base,stencil,32,107.998,,
base,stencil,64,61.8739,,
base,stencil,128,39.0514,,
gen,stencil,4,480.665,,
gen,stencil,16,135.33,,
gen,stencil,32,79.2486,,
gen,stencil,64,51.0969,,
gen,stencil,128,36.9191,,
base,wave,4,1520.1,,
base,wave,16,386.878,,
base,wave,32,199.913,,
base,wave,64,107.147,,
base,wave,128,61.0391,,
gen,wave,4,1021.52,,
gen,wave,16,271.556,,
gen,wave,32,149.333,,
gen,wave,64,88.2771,,
gen,wave,128,57.8692,,
